; S-parameter data file sp_sweep.out.
; Sat May 18 12:17:37 2024
; Number of ports is 1
; FundFreq: 1.00000000e+09 
; Small Signal Analysis: psp 
; SweepType: abs 
; portharmsvec= [ 1 ] 

reference resistance 
		 port1 = 50.000000 

format freq:  s1:1(db,rad) 	 
9.92210000e+08:        -16.1084,        1.08419     
9.92220000e+08:        -16.1138,        1.08296     
9.92230000e+08:        -16.1191,        1.08172     
9.92240000e+08:        -16.1245,        1.08049     
9.92250000e+08:        -16.1299,        1.07925     
9.92260000e+08:        -16.1353,        1.07802     
9.92270000e+08:        -16.1407,        1.07678     
9.92280000e+08:        -16.1461,        1.07554     
9.92290000e+08:        -16.1515,         1.0743     
9.92300000e+08:        -16.1569,        1.07306     
9.92310000e+08:        -16.1623,        1.07181     
9.92320000e+08:        -16.1677,        1.07057     
9.92330000e+08:        -16.1731,        1.06932     
9.92340000e+08:        -16.1785,        1.06807     
9.92350000e+08:        -16.1839,        1.06682     
9.92360000e+08:        -16.1892,        1.06557     
9.92370000e+08:        -16.1946,        1.06432     
9.92380000e+08:           -16.2,        1.06307     
9.92390000e+08:        -16.2054,        1.06181     
9.92400000e+08:        -16.2108,        1.06056     
9.92410000e+08:        -16.2162,         1.0593     
9.92420000e+08:        -16.2216,        1.05804     
9.92430000e+08:        -16.2269,        1.05678     
9.92440000e+08:        -16.2323,        1.05552     
9.92450000e+08:        -16.2377,        1.05426     
9.92460000e+08:        -16.2431,        1.05299     
9.92470000e+08:        -16.2485,        1.05173     
9.92480000e+08:        -16.2539,        1.05046     
9.92490000e+08:        -16.2592,        1.04919     
9.92500000e+08:        -16.2646,        1.04792     
9.92510000e+08:          -16.27,        1.04665     
9.92520000e+08:        -16.2754,        1.04538     
9.92530000e+08:        -16.2808,         1.0441     
9.92540000e+08:        -16.2861,        1.04283     
9.92550000e+08:        -16.2915,        1.04155     
9.92560000e+08:        -16.2969,        1.04027     
9.92570000e+08:        -16.3023,        1.03899     
9.92580000e+08:        -16.3076,        1.03771     
9.92590000e+08:         -16.313,        1.03643     
9.92600000e+08:        -16.3184,        1.03514     
9.92610000e+08:        -16.3237,        1.03386     
9.92620000e+08:        -16.3291,        1.03257     
9.92630000e+08:        -16.3345,        1.03128     
9.92640000e+08:        -16.3398,        1.02999     
9.92650000e+08:        -16.3452,         1.0287     
9.92660000e+08:        -16.3506,        1.02741     
9.92670000e+08:        -16.3559,        1.02612     
9.92680000e+08:        -16.3613,        1.02482     
9.92690000e+08:        -16.3666,        1.02352     
9.92700000e+08:         -16.372,        1.02223     
9.92710000e+08:        -16.3774,        1.02093     
9.92720000e+08:        -16.3827,        1.01962     
9.92730000e+08:        -16.3881,        1.01832     
9.92740000e+08:        -16.3934,        1.01702     
9.92750000e+08:        -16.3988,        1.01571     
9.92760000e+08:        -16.4041,        1.01441     
9.92770000e+08:        -16.4095,         1.0131     
9.92780000e+08:        -16.4148,        1.01179     
9.92790000e+08:        -16.4202,        1.01048     
9.92800000e+08:        -16.4255,        1.00916     
9.92810000e+08:        -16.4308,        1.00785     
9.92820000e+08:        -16.4362,        1.00654     
9.92830000e+08:        -16.4415,        1.00522     
9.92840000e+08:        -16.4469,         1.0039     
9.92850000e+08:        -16.4522,        1.00258     
9.92860000e+08:        -16.4575,        1.00126     
9.92870000e+08:        -16.4629,       0.999936     
9.92880000e+08:        -16.4682,       0.998612     
9.92890000e+08:        -16.4735,       0.997287     
9.92900000e+08:        -16.4788,        0.99596     
9.92910000e+08:        -16.4842,       0.994631     
9.92920000e+08:        -16.4895,       0.993302     
9.92930000e+08:        -16.4948,        0.99197     
9.92940000e+08:        -16.5001,       0.990637     
9.92950000e+08:        -16.5054,       0.989303     
9.92960000e+08:        -16.5108,       0.987968     
9.92970000e+08:        -16.5161,        0.98663     
9.92980000e+08:        -16.5214,       0.985292     
9.92990000e+08:        -16.5267,       0.983952     
9.93000000e+08:         -16.532,        0.98261     
9.93010000e+08:        -16.5373,       0.981267     
9.93020000e+08:        -16.5426,       0.979923     
9.93030000e+08:        -16.5479,       0.978577     
9.93040000e+08:        -16.5532,       0.977229     
9.93050000e+08:        -16.5585,        0.97588     
9.93060000e+08:        -16.5638,        0.97453     
9.93070000e+08:        -16.5691,       0.973178     
9.93080000e+08:        -16.5744,       0.971825     
9.93090000e+08:        -16.5797,        0.97047     
9.93100000e+08:         -16.585,       0.969114     
9.93110000e+08:        -16.5902,       0.967756     
9.93120000e+08:        -16.5955,       0.966397     
9.93130000e+08:        -16.6008,       0.965036     
9.93140000e+08:        -16.6061,       0.963674     
9.93150000e+08:        -16.6113,       0.962311     
9.93160000e+08:        -16.6166,       0.960945     
9.93170000e+08:        -16.6219,       0.959579     
9.93180000e+08:        -16.6272,       0.958211     
9.93190000e+08:        -16.6324,       0.956841     
9.93200000e+08:        -16.6377,        0.95547     
9.93210000e+08:        -16.6429,       0.954098     
9.93220000e+08:        -16.6482,       0.952724     
9.93230000e+08:        -16.6534,       0.951348     
9.93240000e+08:        -16.6587,       0.949971     
9.93250000e+08:        -16.6639,       0.948593     
9.93260000e+08:        -16.6692,       0.947213     
9.93270000e+08:        -16.6744,       0.945831     
9.93280000e+08:        -16.6797,       0.944448     
9.93290000e+08:        -16.6849,       0.943064     
9.93300000e+08:        -16.6901,       0.941678     
9.93310000e+08:        -16.6954,        0.94029     
9.93320000e+08:        -16.7006,       0.938902     
9.93330000e+08:        -16.7058,       0.937511     
9.93340000e+08:         -16.711,       0.936119     
9.93350000e+08:        -16.7163,       0.934726     
9.93360000e+08:        -16.7215,       0.933331     
9.93370000e+08:        -16.7267,       0.931934     
9.93380000e+08:        -16.7319,       0.930536     
9.93390000e+08:        -16.7371,       0.929137     
9.93400000e+08:        -16.7423,       0.927736     
9.93410000e+08:        -16.7475,       0.926334     
9.93420000e+08:        -16.7527,        0.92493     
9.93430000e+08:        -16.7579,       0.923524     
9.93440000e+08:        -16.7631,       0.922117     
9.93450000e+08:        -16.7683,       0.920709     
9.93460000e+08:        -16.7734,       0.919299     
9.93470000e+08:        -16.7786,       0.917887     
9.93480000e+08:        -16.7838,       0.916474     
9.93490000e+08:         -16.789,        0.91506     
9.93500000e+08:        -16.7941,       0.913644     
9.93510000e+08:        -16.7993,       0.912226     
9.93520000e+08:        -16.8045,       0.910807     
9.93530000e+08:        -16.8096,       0.909386     
9.93540000e+08:        -16.8148,       0.907964     
9.93550000e+08:        -16.8199,       0.906541     
9.93560000e+08:        -16.8251,       0.905115     
9.93570000e+08:        -16.8302,       0.903689     
9.93580000e+08:        -16.8354,       0.902261     
9.93590000e+08:        -16.8405,       0.900831     
9.93600000e+08:        -16.8456,         0.8994     
9.93610000e+08:        -16.8508,       0.897967     
9.93620000e+08:        -16.8559,       0.896533     
9.93630000e+08:         -16.861,       0.895097     
9.93640000e+08:        -16.8661,        0.89366     
9.93650000e+08:        -16.8712,       0.892221     
9.93660000e+08:        -16.8763,        0.89078     
9.93670000e+08:        -16.8814,       0.889339     
9.93680000e+08:        -16.8865,       0.887895     
